#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
63,400015,Ford,Explorer,2012,Gris/Grey,Blanc/White,--,--,--,--,45614,--,--,Winnipeg,MB
64,400011,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$20.00,"$1,530.20","$32,134.20",37730,TNJ26,2.5 / 193,Edmonton,AB
65,400023,Dodge ,Grand Caravan,2019,Gris/Grey,Blanc/White,"$27,562.00",$20.00,"$1,379.10","$28,961.10",6802,RTKH53,3.6 / 283,Edmonton,AB
66,400022,RAM,1500,2012,Gris foncé/Dark Gray,Blanc/White,--,--,--,--,127773,--,--,Edmonton,AB
67,500000,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$25.00,"$1,196.50","$25,126.50",11625,Y6BG18,2.5 / 170,Surrey,BC
68,500005,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$25.00,"$1,530.45","$32,139.45",19958,TNJ26,2.5 / 193,Surrey,BC
69,500006,Chevrolet,Tahoe,2018,Argent glacé métallisé/Silver Ice Metallic,Noir/Black,"$42,578.00",$25.00,"$2,130.15","$44,733.15",17010,CK15706,5.3 / 355,Kamloops,BC
70,500009,Chevrolet,Uplander,2009,Gris/Grey,Noir/Black,--,--,--,--,105667,--,--,Surrey,BC
71,500007,Dodge ,Grand Caravan,2019,Gris/Grey,Noir/Black,"$27,562.00",$20.00,"$1,379.10","$28,961.10",2408,RTKH53,3.6 / 283,Surrey,BC
72,500004,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$20.00,"$1,184.70","$24,878.70",5202,RTKH53 29E,3.6 / 283,Vancouver,BC
73,500010,Chevrolet,Uplander,2009,Gris/Grey,Noir/Black,--,--,--,--,83248,--,--,Prince George,BC
74,500012,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",11632,Y6BG19,2.5 / 170,Victoria,BC
75,500016,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",1176,RTKH53,3.6 / 283,Vancouver,BC
76,500017,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",3535,RTKH53,3.6 / 283,Victoria,BC
77,341649,Toyota,RAV-4,2016,Gris/Grey,Noir/Black,"$32,400.53",--,--,--,81965,--,--,Ottawa,ON
78,8-630,Dodge,Grand Caravan,2009,Bleue/Blue,Blanc/White,--,--,--,--,62842,--,--,Gatineau,QC
79,100008,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2129,Y6BG19,2.5 / 170,Halifax,NS
80,100009,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1869,Y6BG19,2.5 / 170,Oromocto,NB
81,100010,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",4168,Y6BG19,2.5 / 170,Shearwater,NS
82,100011,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",4825,Y6BG19,2.5 / 170,Shearwater,NS
83,200012,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2341,Y6BG19,2.5 / 170,Courcelette,QC
84,200013,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2127,Y6BG19,2.5 / 170,Courcelette,QC
85,200014,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3809,Y6BG19,2.5 / 170,Courcelette,QC
86,200015,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3351,Y6BG19,2.5 / 170,Alouette,QC
87,200016,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3834,Y6BG19,2.5 / 170,Richelieu,QC
88,200017,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2784,Y6BG19,2.5 / 170,Montreal,QC
89,300020,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3305,Y6BG19,2.5 / 170,Borden,ON
90,300021,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1989,Y6BG19,2.5 / 170,Kingston,ON
91,300022,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",8575,Y6BG19,2.5 / 170,Toronto,ON
92,300023,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1185,Y6BG19,2.5 / 170,Trenton,ON
93,300027,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",865,Y6BG19,2.5 / 170,Petawawa,ON
94,300028,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",445,Y6BG19,2.5 / 170,Ottawa,ON
95,300029,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3339,Y6BG19,2.5 / 170,Ottawa,ON
96,400016,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",3768,Y6BG19,2.5 / 170,Edmonton,AB
97,400017,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",15038,Y6BG19,2.5 / 170,Denwood,AB
98,400018,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2787,Y6BG19,2.5 / 170,Winnipeg,MB
